lat,lon,name,desc,color,source,precision
36.13108,-5.448705,Algeciras,"Algeciras, Campo de Gibraltar, Andalusia, ES",,MapQuest Open,city/town
36.721303,-4.421637,Malaga,"Málaga, Malaga, Andalusia, ES",,MapQuest Open,city/town
35.476018,-6.008454,Asilah,"Asilah, Pachalik d'Assilah, MA",,MapQuest Open,city/town
34.022405,-6.834543,Rabat,"Rabat, pachalik de Rabat, MA",,MapQuest Open,city/town
35.888361,-5.304138,Ceuta,"Ceuta, Ceuta, ES",,MapQuest Open,city/town
36.84142,-2.462813,Almeria,"Almeria, Almeria, Andalusia, ES",,MapQuest Open,city/town
35.291903,-2.940715,Melilla,"Melilla, Melilla, ES",,MapQuest Open,city/town
34.677874,-1.929306,Oujda,"Oujda, Pachalik d'Oujda باشوية وجدة, MA",,MapQuest Open,city/town
34.847199,-1.729658,Maghnia,"Maghnia, Maghnia District, Tlemcen, DZ",,MapQuest Open,city/town
30.421114,-9.583063,Agadir,"Agadir, Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير ‎باشوية, MA",,MapQuest Open,city/town
27.940073,-12.925216,Tarfaya,"Tarfaya, Pachalik de Tarfaya, MA",,MapQuest Open,city/town
43.034901,42.690333,Lemsia,"Lemsia, Upper Svaneti, Samegrelo-Upper Svaneti, GE",,MapQuest Open,city/town
-9.266667,152.833333,El Aiun,"Losuia District, Milne Bay, PG",,MapQuest Open,city/town
33.843941,9.400138,Tunis,TN,,MapQuest Open,country
35.511134,12.596291,Lampedusa,"Lampedusa e Linosa, AG, Sicily, IT",,MapQuest Open,city/town
39.78373,-100.445882,Zuwaran,US,,MapQuest Open,country
32.896672,13.177792,Tripoli,"Tripoli, Tripoli, LY",,MapQuest Open,city/town
32.467562,14.56564,Zliten,"Zliten, Misrata, LY",,MapQuest Open,city/town
32.128833,20.08172,Benghazi,"Benghazi, Benghazi, LY",,MapQuest Open,city/town
31.199004,29.894378,Alexandria,"Alexandria, Alexandria Governorate, EG",,MapQuest Open,city/town
30.048819,31.243666,Cairo,"Cairo, Cairo Governorate, EG",,MapQuest Open,city/town
29.526702,35.007822,Aqaba,"Aqaba, Aqaba, JO",,MapQuest Open,city/town
30.755004,20.223326,Ajdabiya,"Ajdabiya, Al Wahat, LY",,MapQuest Open,city/town
39.78373,-100.445882,Al Kuffra,US,,MapQuest Open,country
24.091071,32.897306,Aswan,"Aswan, Aswan Governorate, EG",,MapQuest Open,city/town
37.986573,-122.064037,Selima,"Selima Way, Pacheco, Contra Costa County, CA, US",,MapQuest Open,street
19.172851,30.473159,Dongola,"Dongola, Northern State, SD",,MapQuest Open,city/town
17.690719,33.98073,Atbara,"Atbarah, River Nile State, SD",,MapQuest Open,city/town
15.411847,35.658708,Kassala,"Kassala State, SD",,MapQuest Open,state/province
15.593325,32.53565,Khartoum,"Khartoum, Khartoum State, SD",,MapQuest Open,city/town
13.532665,34.715432,Al Qadarif,"Al Qadarif, Gedarif State, SD",,MapQuest Open,city/town
11.856775,42.757785,Djibouti,DJ,,MapQuest Open,country
39.78373,-100.445882,Bossasso,US,,MapQuest Open,country
16.894719,42.557976,Jizan,"Jizan, SA",,MapQuest Open,city/town
31.951569,35.923963,Amman,"Amman, Amman, JO",,MapQuest Open,city/town
33.51307,36.309581,Damascus,"Damascus, Damascus, SY",,MapQuest Open,city/town
0.317714,32.581354,Kampala,"Kampala, Kampala, UG",,MapQuest Open,city/town
6.455058,3.39418,Lagos,"Lagos, Lagos Island, Lagos, NG",,MapQuest Open,city/town
13.806342,8.989166,Zinder,"Zinder, Mirriah, NE",,MapQuest Open,city/town
16.972556,7.990739,Agadez,"Agadez, Tchirozérine, NE",,MapQuest Open,city/town
18.739079,7.393331,Arlit,"Arlit, Arlit, NE",,MapQuest Open,city/town
18.69293,12.91872,Bilma,"Bilma, Bilma, NE",,MapQuest Open,city/town
19.002652,12.894201,Dirkou,"Dirkou, Bilma, NE",,MapQuest Open,city/town
26.528031,8.081577,Illizi,"Illizi, DZ",,MapQuest Open,state/province
27.033154,14.431693,Sebha,"Sabha, Sabha, LY",,MapQuest Open,city/town
30.12584,9.490066,Ghadamis,"Ghadames, Nalut, LY",,MapQuest Open,city/town
40.63953,17.945526,Brindisi,"Brindisi, BR, Apulia, IT",,MapQuest Open,city/town
41.894802,12.485338,Roma,"Rome, RM, Lazio, IT",,MapQuest Open,city/town
45.466797,9.190498,Milan,"Milan, Milan, Lombardy, IT",,MapQuest Open,city/town
43.617014,13.517098,Ancona,"Ancona, AN, MAR, IT",,MapQuest Open,city/town
45.437191,12.33459,Venice,"Venice, VE, Veneto, IT",,MapQuest Open,city/town
45.650034,13.770656,Trieste,"Triest, UTI Giuliana / Julijska MTU, Friuli Venezia Giulia, IT",,MapQuest Open,city/town
43.296174,5.369953,Marseille,"Marseille, Marseille, Provence-Alpes-Côte d'Azur, FR",,MapQuest Open,city/town
50.9488,1.87468,Calais,"Calais, Calais, Nord-Pas-de-Calais and Picardy, FR",,MapQuest Open,city/town
39.65945,2.986239,Majorca,"Sineu, Pla de Mallorca, Balearic Islands, ES",,MapQuest Open,city/town
40.052869,3.86572,Minorca,"Ciutadella, Menorca, Balearic Islands, ES",,MapQuest Open,city/town
35.888599,14.447691,Malta,MT,,MapQuest Open,country
38.196904,44.768502,Salmas,"Salmas, Salmas County, West Azerbaijan Province, IR",,MapQuest Open,city/town
37.549347,45.068286,Urmia,"Urmia, Urumia County, West Azerbaijan Province, IR",,MapQuest Open,city/town
37.216435,44.514932,Semdinli,"Şemdinli, Eastern Anatolia Region, TR",,MapQuest Open,county/district
36.191162,44.009465,Arbil,"Erbil, Arbil District, Iraqi Kurdistan, IQ",,MapQuest Open,city/town
33.89592,35.47843,Beirut,"Beirut, Ras Beirut, Beirut Governorate, LB",,MapQuest Open,city/town
34.733333,36.716667,Homs,"Homs, Homs, SY",,MapQuest Open,city/town
-1.45926,-48.434228,Ufra,"Via Felisberto Camargo 2501, Belém, Microrregião de Belém, Pará, BR",,MapQuest Open,address
37.574898,43.73766,Hakkari,"Hakkâri, Hakkari merkez, Eastern Anatolia Region, TR",,MapQuest Open,city/town
37.249296,42.470634,Silopi,"Silopi, Silopi, Southeastern Anatolia Region, TR",,MapQuest Open,city/town
38.508433,43.374257,Van,"Tuşba, Eastern Anatolia Region, TR",,MapQuest Open,city/town
41.009633,28.965165,Istanbul,"Istanbul, Fatih, Marmara Region, TR",,MapQuest Open,city/town
41.250324,31.838974,Zonguldak,"Zonguldak, TR",,MapQuest Open,state/province
39.267105,26.792378,Ayvalik,"Ayvalık, Marmara Region, TR",,MapQuest Open,county/district
38.287704,26.350859,Izmir and Cesme,"Çesme, Aegean Region, TR",,MapQuest Open,county/district
-7.425635,109.264919,Mersi,"Mersi, Central Java, ID",,MapQuest Open,city/town
40.668711,27.24309,Murefte,"Mürefte, Şarköy, Marmara Region, TR",,MapQuest Open,city/town
41.768915,26.201814,Svilengrad,"Svilengrad, Svilengrad, BG",,MapQuest Open,city/town
42.697863,23.322179,Sofia,"Sofia, Sofia City, BG",,MapQuest Open,city/town
41.395295,23.206783,Petrich,"Petrich, Petrich, BG",,MapQuest Open,city/town
39.504529,20.265092,Igoumenitsa,"Igoumenitsa, Igoumenitsa Municipality, Epirus - Western Macedonia, GR",,MapQuest Open,city/town
38.246242,21.735085,Patra,"Patras, Patra Municipality, Peloponnese, West Greece and Ionian Sea, GR",,MapQuest Open,city/town
33.955091,-83.388187,Athens,"Athens, Athens - Clarke County, GA, US",,MapQuest Open,city/town
36.775348,3.060065,Algiers,"Algiers, Sidi M'Hamed District, Algiers, DZ",,MapQuest Open,city/town
9.313929,42.129839,Harar,"Harar, Harari Region, ET",,MapQuest Open,city/town
9.52749,45.537472,Burao,"Burco, Burco برعو, Togdheer, SO",,MapQuest Open,city/town
2.042778,45.338564,Mogadishu,"Mogadishu, Mogadishu مقديشو, Banaadir, SO",,MapQuest Open,city/town
35.787212,-5.813549,"Tangiers, Morocco","64 Rue Ibn Batouta, Tangier, pachalik de Tanger طنجة, MA",,MapQuest Open,address
