lat	lon	city
6.499072	2.625336	Porto-Novo
5.560014	-0.205744	Accra
5.409118	-4.04221	Abidjan
12.503977	-3.415752	Massala
8.479004	-13.26795	Freetown
6.328034	-10.797788	Monrovia
9.51706	-13.699843	Conakry
11.861324	-15.583055	Bissau
14.693425	-17.447938	Dakar
16.187637	-15.295431	Saint Louis
18.079238	-15.978007	Nouakchott
20.91313	-17.050101	Nouadhibou
-9.266667	152.833333	El Aiun
30.421114	-9.583063	Agadir
12.649319	-8.000337	Bamako
39.78373	-100.445882	Quagadougou
39.78373	-100.445882	Niamei
16.278813	-0.041239	Gao
16.972556	7.990739	Agadez
18.739079	7.393331	Arlit
19.002652	12.894201	Dirkou
32.896672	13.177792	Tripoli
2.042778	45.338564	Mogadishu
-1.283253	36.817245	Nairobi
0.317714	32.581354	Kampala
4.847202	31.595166	Juba
9	38.75	Addis Ababa
9.313929	42.129839	Harar
9.52749	45.537472	Burao
39.78373	-100.445882	Bossasso
11.856775	42.757785	Djibouti
13.532665	34.715432	Al Qadarif
15.411847	35.658708	Kassala
15.338997	38.932672	Asmara
19.619217	37.211709	Port Sudan
39.78373	-100.445882	Altbara
19.172851	30.473159	Dongola
37.986573	-122.064037	Selima
24.091071	32.897306	Aswan
30.048819	31.243666	Cairo
29.526702	35.007822	Aqaba
31.199004	29.894378	Alexandria
32.128833	20.08172	Benghazi
30.755004	20.223326	Ajdabiya
