lat	lon	city
2.042778	45.338564	Mogadishu
-1.283253	36.817245	Nairobi
0.317714	32.581354	Kampala
4.847202	31.595166	Juba
9	38.75	Addis Ababa
9.313929	42.129839	Harar
9.52749	45.537472	Burao
11.856775	42.757785	Djibouti
13.532665	34.715432	Al Qadarif
15.411847	35.658708	Kassala
15.338997	38.932672	Asmara
19.619217	37.211709	Port Sudan
19.172851	30.473159	Dongola
24.091071	32.897306	Aswan
30.048819	31.243666	Cairo
29.526702	35.007822	Aqaba
31.199004	29.894378	Alexandria
32.128833	20.08172	Benghazi
30.755004	20.223326	Ajdabiya
32.896672	13.177792	Tripoli
