type	lat	lon	name	desc
T	45.464950000	9.189290000	Milano, MI - Naples, Metropolitan City of Naples	773 km, 7:32
T	45.465140000	9.189280000		
T	45.465140000	9.189280000		
T	45.465140000	9.188550000		
T	45.465140000	9.188550000		
T	45.465620000	9.188550000		
T	45.465870000	9.188540000		
T	45.466040000	9.188500000		
T	45.466040000	9.188500000		
T	45.466180000	9.188620000		
T	45.466530000	9.188940000		
T	45.466570000	9.188980000		
T	45.466790000	9.189190000		
T	45.466960000	9.189360000		
T	45.466960000	9.189360000		
T	45.467390000	9.189920000		
T	45.467390000	9.189920000		
T	45.467460000	9.190010000		
T	45.468180000	9.190760000		
T	45.468290000	9.190890000		
T	45.468450000	9.191050000		
T	45.468700000	9.191310000		
T	45.468980000	9.191590000		
T	45.469060000	9.191670000		
T	45.469380000	9.192020000		
T	45.469770000	9.192470000		
T	45.470040000	9.192790000		
T	45.470760000	9.193500000		
T	45.471270000	9.193950000		
T	45.471560000	9.194260000		
T	45.471830000	9.194600000		
T	45.471970000	9.194760000		
T	45.472020000	9.194830000		
T	45.472280000	9.195200000		
T	45.472390000	9.195360000		
T	45.472390000	9.195360000		
T	45.472610000	9.195660000		
T	45.472670000	9.195730000		
T	45.472730000	9.195860000		
T	45.472770000	9.195930000		
T	45.472800000	9.196020000		
T	45.472800000	9.196040000		
T	45.472820000	9.196120000		
T	45.472820000	9.196120000		
T	45.472870000	9.196420000		
T	45.472870000	9.196460000		
T	45.472990000	9.198090000		
T	45.473010000	9.198280000		
T	45.473070000	9.199040000		
T	45.473080000	9.199230000		
T	45.473080000	9.199350000		
T	45.473070000	9.199390000		
T	45.473060000	9.199450000		
T	45.473050000	9.199500000		
T	45.473030000	9.199600000		
T	45.472770000	9.200420000		
T	45.472690000	9.200690000		
T	45.472670000	9.200750000		
T	45.472640000	9.200840000		
T	45.472560000	9.201060000		
T	45.472520000	9.201170000		
T	45.472080000	9.202030000		
T	45.471870000	9.202460000		
T	45.471870000	9.202460000		
T	45.472200000	9.202820000		
T	45.472320000	9.202940000		
T	45.472650000	9.203270000		
T	45.473090000	9.203710000		
T	45.473660000	9.204280000		
T	45.473810000	9.204420000		
T	45.473900000	9.204500000		
T	45.473960000	9.204560000		
T	45.474020000	9.204620000		
T	45.474160000	9.204770000		
T	45.474160000	9.204770000		
T	45.474040000	9.205020000		
T	45.473960000	9.205100000		
T	45.473920000	9.205170000		
T	45.473890000	9.205230000		
T	45.473840000	9.205280000		
T	45.473800000	9.205330000		
T	45.473780000	9.205340000		
T	45.473750000	9.205350000		
T	45.473720000	9.205350000		
T	45.473710000	9.205350000		
T	45.473680000	9.205350000		
T	45.473560000	9.205350000		
T	45.473300000	9.205330000		
T	45.472750000	9.205320000		
T	45.472490000	9.205300000		
T	45.472260000	9.205280000		
T	45.471810000	9.205300000		
T	45.471740000	9.205300000		
T	45.471540000	9.205320000		
T	45.470710000	9.205390000		
T	45.470620000	9.205390000		
T	45.470530000	9.205420000		
T	45.470500000	9.205430000		
T	45.469490000	9.205540000		
T	45.468420000	9.205670000		
T	45.467980000	9.205720000		
T	45.467910000	9.205730000		
T	45.467910000	9.205730000		
T	45.467780000	9.205740000		
T	45.467660000	9.205760000		
T	45.467570000	9.205760000		
T	45.467480000	9.205770000		
T	45.467280000	9.205780000		
T	45.467140000	9.205780000		
T	45.466510000	9.205840000		
T	45.465690000	9.205970000		
T	45.465190000	9.206020000		
T	45.464270000	9.206160000		
T	45.463850000	9.206210000		
T	45.463470000	9.206270000		
T	45.463390000	9.206300000		
T	45.463280000	9.206340000		
T	45.463250000	9.206360000		
T	45.463190000	9.206410000		
T	45.463150000	9.206430000		
T	45.463110000	9.206460000		
T	45.462660000	9.206530000		
T	45.462480000	9.206560000		
T	45.462410000	9.206570000		
T	45.462360000	9.206580000		
T	45.462360000	9.206580000		
T	45.462280000	9.206600000		
T	45.462170000	9.206620000		
T	45.462130000	9.206760000		
T	45.462090000	9.206850000		
T	45.462070000	9.206940000		
T	45.462050000	9.207020000		
T	45.462050000	9.207110000		
T	45.462060000	9.207250000		
T	45.462090000	9.207490000		
T	45.462090000	9.207490000		
T	45.462190000	9.207710000		
T	45.462200000	9.207860000		
T	45.462200000	9.208890000		
T	45.462200000	9.209580000		
T	45.462200000	9.210320000		
T	45.462190000	9.210790000		
T	45.462180000	9.211380000		
T	45.462200000	9.211590000		
T	45.462200000	9.211630000		
T	45.462210000	9.212100000		
T	45.462190000	9.213480000		
T	45.462180000	9.214700000		
T	45.462190000	9.215060000		
T	45.462190000	9.215730000		
T	45.462190000	9.216100000		
T	45.462190000	9.216240000		
T	45.462180000	9.217080000		
T	45.462180000	9.217210000		
T	45.462180000	9.217390000		
T	45.462150000	9.217530000		
T	45.462150000	9.218550000		
T	45.462140000	9.219920000		
T	45.462120000	9.221580000		
T	45.462120000	9.221940000		
T	45.462120000	9.223660000		
T	45.462120000	9.223660000		
T	45.462120000	9.223900000		
T	45.462120000	9.224130000		
T	45.462120000	9.225040000		
T	45.462080000	9.226190000		
T	45.462080000	9.227000000		
T	45.462090000	9.227420000		
T	45.462090000	9.227790000		
T	45.462110000	9.229530000		
T	45.462110000	9.229780000		
T	45.462110000	9.230230000		
T	45.462120000	9.230580000		
T	45.462110000	9.231040000		
T	45.462090000	9.232030000		
T	45.462070000	9.232560000		
T	45.462060000	9.232720000		
T	45.462050000	9.232860000		
T	45.462040000	9.233170000		
T	45.462030000	9.234120000		
T	45.462030000	9.234490000		
T	45.462030000	9.234670000		
T	45.462030000	9.234720000		
T	45.462030000	9.234780000		
T	45.462020000	9.234840000		
T	45.462010000	9.234940000		
T	45.461970000	9.235190000		
T	45.461950000	9.235360000		
T	45.461930000	9.235520000		
T	45.461920000	9.235700000		
T	45.461910000	9.235850000		
T	45.461910000	9.236010000		
T	45.461890000	9.237000000		
T	45.461890000	9.237220000		
T	45.461900000	9.237370000		
T	45.461900000	9.237600000		
T	45.461920000	9.238050000		
T	45.461920000	9.238050000		
T	45.461920000	9.238280000		
T	45.461930000	9.238570000		
T	45.461940000	9.239000000		
T	45.461950000	9.239400000		
T	45.461970000	9.239740000		
T	45.461970000	9.239920000		
T	45.461970000	9.240100000		
T	45.461960000	9.240360000		
T	45.461970000	9.240630000		
T	45.461980000	9.241070000		
T	45.461980000	9.241720000		
T	45.461970000	9.242460000		
T	45.461970000	9.243180000		
T	45.461960000	9.243740000		
T	45.461960000	9.243910000		
T	45.461960000	9.244000000		
T	45.461960000	9.244110000		
T	45.461970000	9.244320000		
T	45.461960000	9.244740000		
T	45.461950000	9.245250000		
T	45.461950000	9.245380000		
T	45.461950000	9.245490000		
T	45.461950000	9.245490000		
T	45.461910000	9.245610000		
T	45.461900000	9.245660000		
T	45.461880000	9.245740000		
T	45.461860000	9.245920000		
T	45.461860000	9.245920000		
T	45.461810000	9.246000000		
T	45.461800000	9.246070000		
T	45.461700000	9.246510000		
T	45.461550000	9.247160000		
T	45.461410000	9.247780000		
T	45.461230000	9.248540000		
T	45.461130000	9.248970000		
T	45.461070000	9.249140000		
