lat	lon	total
-20	-118.655471	2
-1	-118.655471	1
1	-118.655471	3
8	-118.655471	28
9	-118.655471	44
10	-118.655471	2
11	-118.655471	13
12	-118.655471	7
13	-118.655471	1
14	-118.655471	3
15	-118.655471	20
16	-118.655471	19
17	-118.655471	10
18	-118.655471	122
19	-118.655471	215
20	-118.655471	19
21	-118.655471	14
22	-118.655471	78
23	-118.655471	1
24	-118.655471	89
25	-118.655471	24
26	-118.655471	106
27	-118.655471	148
28	-118.655471	106
29	-118.655471	52
30	-118.655471	152
31	-118.655471	163
32	-118.655471	299
33	-118.655471	36
34	-118.655471	3
35	-118.655471	140
49	-118.655471	1
